dataset = CIFAR10
model = SortHybridModel(depth=7,width=5120,hidden=512,scalar=True,dropout=0.6)
loss = ce_hinge(lam0=1.0,lam_end=0.01)
p_start = 8.0
p_end = 1000.0
eps_train = 0.03451
eps_test = 0.03137
eps_smooth = 0.4
epochs = 0,500,200,2950,3000
decays = None
batch_size = 512
lr = 0.02
wd = 0.02
beta1 = 0.9
beta2 = 0.99
epsilon = 1e-10
start_epoch = 0
checkpoint = None
gpu = 3
dist_url = tcp://localhost:23456
world_size = 1
rank = 0
print_freq = 200
result_dir = result
filter_name = 
seed = 2021
visualize = False
Compose(
    RandomCrop(size=(32, 32), padding=3)
    RandomHorizontalFlip(p=0.5)
    ToTensor()
    Normalize(mean=[0.4914 0.4822 0.4465], std=[0.2009, 0.2009, 0.2009])
)
SortHybridModel(
  (fc_dist): BoundSequential(
    (0): NormDist(
      in_features=3072, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (1): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (2): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (3): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (4): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
  )
  (fc_linear): BoundSequential(
    (0): BoundLinear(in_features=5120, out_features=512, bias=True)
    (1): BoundTanh()
  )
  (fc_final): BoundFinalLinear(in_features=512, out_features=10, bias=True)
)
number of params:  123213323
Epoch 0:  train loss 2.4139   train acc 0.1157   worst 0.1157   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 9.22
Epoch 1:  train loss 2.2403   train acc 0.1380   worst 0.1380   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.71
Epoch 2:  train loss 2.0555   train acc 0.2252   worst 0.2252   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.79
Epoch 3:  train loss 1.9139   train acc 0.2879   worst 0.2879   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.78
Epoch 4:  train loss 1.8194   train acc 0.3265   worst 0.3265   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.80
Epoch 5:  train loss 1.7660   train acc 0.3462   worst 0.3462   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.76
Epoch 6:  train loss 1.7222   train acc 0.3622   worst 0.3622   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.77
Epoch 7:  train loss 1.6836   train acc 0.3874   worst 0.3874   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.79
Epoch 8:  train loss 1.6474   train acc 0.4056   worst 0.4056   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.83
Epoch 9:  train loss 1.6207   train acc 0.4150   worst 0.4150   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.80
Epoch 10:  train loss 1.5933   train acc 0.4283   worst 0.4283   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.81
Epoch 11:  train loss 1.5704   train acc 0.4370   worst 0.4370   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.88
Epoch 12:  train loss 1.5483   train acc 0.4482   worst 0.4482   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.82
Epoch 13:  train loss 1.5368   train acc 0.4533   worst 0.4533   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.81
Epoch 14:  train loss 1.5165   train acc 0.4597   worst 0.4597   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.84
Epoch 15:  train loss 1.4999   train acc 0.4690   worst 0.4690   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.86
Epoch 16:  train loss 1.4900   train acc 0.4709   worst 0.4709   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.74
Epoch 17:  train loss 1.4735   train acc 0.4761   worst 0.4760   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.79
Epoch 18:  train loss 1.4613   train acc 0.4822   worst 0.4821   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.86
Epoch 19:  train loss 1.4550   train acc 0.4880   worst 0.4880   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.84
Epoch 20:  train loss 1.4456   train acc 0.4892   worst 0.4892   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.85
Epoch 21:  train loss 1.4295   train acc 0.4960   worst 0.4959   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.80
Epoch 22:  train loss 1.4212   train acc 0.4968   worst 0.4966   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.83
Epoch 23:  train loss 1.4108   train acc 0.5039   worst 0.5038   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.87
Epoch 24:  train loss 1.3988   train acc 0.5087   worst 0.5086   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.90
Epoch 25:  train loss 1.3929   train acc 0.5107   worst 0.5105   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.86
Epoch 26:  train loss 1.3875   train acc 0.5111   worst 0.5109   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.86
Epoch 27:  train loss 1.3789   train acc 0.5146   worst 0.5143   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.84
Epoch 28:  train loss 1.3742   train acc 0.5195   worst 0.5192   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.84
Epoch 29:  train loss 1.3676   train acc 0.5215   worst 0.5214   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.85
Epoch 30:  train loss 1.3651   train acc 0.5191   worst 0.5188   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.90
Epoch 31:  train loss 1.3532   train acc 0.5249   worst 0.5246   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.90
Epoch 32:  train loss 1.3570   train acc 0.5248   worst 0.5245   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.87
Epoch 33:  train loss 1.3453   train acc 0.5310   worst 0.5307   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.87
Epoch 34:  train loss 1.3394   train acc 0.5319   worst 0.5316   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.90
Epoch 35:  train loss 1.3368   train acc 0.5326   worst 0.5322   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.86
Epoch 36:  train loss 1.3265   train acc 0.5357   worst 0.5353   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.88
Epoch 37:  train loss 1.3255   train acc 0.5361   worst 0.5358   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.98
Epoch 38:  train loss 1.3188   train acc 0.5383   worst 0.5380   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.81
Epoch 39:  train loss 1.3203   train acc 0.5411   worst 0.5402   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.80
Epoch 40:  train loss 1.3171   train acc 0.5424   worst 0.5417   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.87
Epoch 41:  train loss 1.3104   train acc 0.5411   worst 0.5403   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.82
Epoch 42:  train loss 1.3028   train acc 0.5459   worst 0.5451   lr 0.0200   p 8.00   eps 0.0000   mix 1.0000   time 8.83
Epoch 43:  train loss 1.2976   train acc 0.5472   worst 0.5466   lr 0.0200   p 8.00   eps 0.0001   mix 1.0000   time 8.85
Epoch 44:  train loss 1.2986   train acc 0.5487   worst 0.5476   lr 0.0200   p 8.00   eps 0.0001   mix 1.0000   time 8.87
Epoch 45:  train loss 1.2911   train acc 0.5492   worst 0.5480   lr 0.0200   p 8.00   eps 0.0001   mix 1.0000   time 8.89
Epoch 46:  train loss 1.2926   train acc 0.5534   worst 0.5525   lr 0.0200   p 8.00   eps 0.0001   mix 1.0000   time 8.94
Epoch 47:  train loss 1.2869   train acc 0.5509   worst 0.5495   lr 0.0200   p 8.00   eps 0.0001   mix 1.0000   time 8.90
Epoch 48:  train loss 1.2859   train acc 0.5529   worst 0.5517   lr 0.0200   p 8.00   eps 0.0001   mix 1.0000   time 8.86
Epoch 49:  train loss 1.2844   train acc 0.5535   worst 0.5523   lr 0.0200   p 8.00   eps 0.0001   mix 1.0000   time 8.85
Epoch 50:  train loss 1.2832   train acc 0.5501   worst 0.5488   lr 0.0200   p 8.00   eps 0.0001   mix 1.0000   time 8.91
Epoch 51:  train loss 1.2773   train acc 0.5560   worst 0.5545   lr 0.0200   p 8.00   eps 0.0001   mix 1.0000   time 8.87
Epoch 52:  train loss 1.2789   train acc 0.5557   worst 0.5537   lr 0.0200   p 8.00   eps 0.0001   mix 1.0000   time 8.92
