dataset = MNIST
model = SortMLPModel(depth=5,width=5120,scalar=True,dropout=0.75,identity_val=10.0)
loss = mixture(lam0=0.02,lam_end=0.0002)
p_start = 8.0
p_end = 1000.0
eps_train = 0.45
eps_test = 0.3
eps_smooth = 0.4
epochs = 0,0,100,1450,1500
decays = None
batch_size = 512
lr = 0.02
wd = 0.02
beta1 = 0.9
beta2 = 0.99
epsilon = 1e-10
start_epoch = 0
checkpoint = None
gpu = 1
dist_url = tcp://localhost:23456
world_size = 1
rank = 0
print_freq = 200
result_dir = result
filter_name = 
seed = 2021
visualize = False
Compose(
    RandomCrop(size=(28, 28), padding=1)
    ToTensor()
    Normalize(mean=[0.1307], std=[0.3081])
)
SortMLPModel(
  (fc_dist): BoundSequential(
    (0): NormDist(
      in_features=784, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (1): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (2): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (3): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (4): NormDist(in_features=5120, out_features=10, bias=True)
  )
)
number of params:  82708491
Epoch 0:  train loss 0.9009   train acc 0.1946   worst 0.0940   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 9.68
Epoch 1:  train loss 0.8475   train acc 0.2039   worst 0.1719   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 9.08
Epoch 2:  train loss 0.8009   train acc 0.3200   worst 0.1414   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 9.09
Epoch 3:  train loss 0.5987   train acc 0.6315   worst 0.2199   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 9.36
Epoch 4:  train loss 0.4493   train acc 0.7160   worst 0.3978   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 9.46
Epoch 5:  train loss 0.3547   train acc 0.7629   worst 0.5361   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 9.77
Epoch 6:  train loss 0.2643   train acc 0.8448   worst 0.6297   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 10.42
Epoch 7:  train loss 0.1880   train acc 0.8897   worst 0.7290   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 10.95
Epoch 8:  train loss 0.1535   train acc 0.9111   worst 0.7758   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 11.60
Epoch 9:  train loss 0.1301   train acc 0.9260   worst 0.8067   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 11.43
Epoch 10:  train loss 0.1146   train acc 0.9345   worst 0.8295   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 11.13
